	genus	compound	R	pval	qval
8	Dubosiella	HDCA	0.705410511	0.010382974	0.114637298
10	Dubosiella	omega-MCA	0.727272727	0.007355029	0.09929289
13	Dubosiella	HCA	0.712875173	0.00926089	0.108845547
39	Dubosiella	Sucrose	0.748251748	0.005124082	0.084370464
44	Dubosiella	Maltose	0.622377622	0.030675895	0.18405537
46	Ambiguous_taxa	Acetic acid 	0.699300699	0.011374199	0.117679994
47	Ambiguous_taxa	Propionic acid	0.657342657	0.020185499	0.153720335
49	Ambiguous_taxa	Butyric acid	0.797202797	0.001900368	0.054270117
61	Ambiguous_taxa	Alanine	0.833626497	0.000753851	0.046324428
62	Ambiguous_taxa	Proline	0.862168403	0.000309405	0.028716685
63	Ambiguous_taxa	Valine	0.718975037	0.008413264	0.105878791
64	Ambiguous_taxa	Leucine	0.596631655	0.040571236	0.219084674
65	Ambiguous_taxa	Isoleucine	0.772592465	0.003222325	0.070223948
66	Ambiguous_taxa	Glycine	0.713286713	0.00920178	0.108845547
67	Ambiguous_taxa	4-Aminobutyric acid	0.713286713	0.00920178	0.108845547
69	Ambiguous_taxa	Threonine	0.88982059	0.000105995	0.02248617
71	Ambiguous_taxa	4-Hydroxyproline	0.735269157	0.006432813	0.09434061
74	Ambiguous_taxa	Pyruvic acid	0.8231186	0.001004947	0.046635812
75	Ambiguous_taxa	Fumaric acid	0.787521788	0.002357753	0.063085811
76	Ambiguous_taxa	Adenine	0.757203629	0.004346479	0.075052573
80	Ambiguous_taxa	Hydroxypropionic acid	0.694021729	0.012285745	0.120028493
82	Ambiguous_taxa	Taurine	0.774667097	0.003089652	0.068960472
83	Ambiguous_taxa	Arabinose	0.815450062	0.00122559	0.047611899
86	Ambiguous_taxa	Glucose	0.685314685	0.013905969	0.129876501
87	Ambiguous_taxa	Mannose	0.725136935	0.007617294	0.099812292
88	Ambiguous_taxa	Galactose-talose	0.57830387	0.048870169	0.242716392
91	uncultured bacterium	Acetic acid 	0.608391608	0.035805997	0.203270962
92	uncultured bacterium	Propionic acid	0.622377622	0.030675895	0.18405537
94	uncultured bacterium	Butyric acid	0.699300699	0.011374199	0.117679994
106	uncultured bacterium	Alanine	0.774081748	0.003126656	0.068960472
107	uncultured bacterium	Proline	0.828577426	0.000867564	0.046324428
108	uncultured bacterium	Valine	0.711856472	0.009408426	0.108845547
109	uncultured bacterium	Leucine	0.596631655	0.040571236	0.219084674
110	uncultured bacterium	Isoleucine	0.757663142	0.004309133	0.075052573
111	uncultured bacterium	Glycine	0.699300699	0.011374199	0.117679994
112	uncultured bacterium	4-Aminobutyric acid	0.671328671	0.016831456	0.1400264
114	uncultured bacterium	Threonine	0.896939155	7.68E-05	0.017775352
116	uncultured bacterium	4-Hydroxyproline	0.761395473	0.004014726	0.073195663
119	uncultured bacterium	Pyruvic acid	0.700526468	0.011169929	0.117279638
120	uncultured bacterium	Fumaric acid	0.821112765	0.001059431	0.047611899
121	uncultured bacterium	Adenine	0.757203629	0.004346479	0.075052573
125	uncultured bacterium	Hydroxypropionic acid	0.701819726	0.010957379	0.116471677
127	uncultured bacterium	Taurine	0.767624669	0.003557617	0.070223948
128	uncultured bacterium	Arabinose	0.815450062	0.00122559	0.047611899
131	uncultured bacterium	Glucose	0.615384615	0.033169901	0.194308888
132	uncultured bacterium	Mannose	0.725136935	0.007617294	0.099812292
133	uncultured bacterium	Galactose-talose	0.640710763	0.024780463	0.166591021
151	uncultured Bacteroidales bacterium	Alanine	0.67250541	0.016569291	0.139013541
153	uncultured Bacteroidales bacterium	Valine	0.64778939	0.022740883	0.160431054
156	uncultured Bacteroidales bacterium	Glycine	0.622377622	0.030675895	0.18405537
159	uncultured Bacteroidales bacterium	Threonine	0.590840872	0.04307592	0.225321961
163	uncultured Bacteroidales bacterium	L-Lactic acid	0.608391608	0.035805997	0.203270962
164	uncultured Bacteroidales bacterium	Pyruvic acid	0.725044895	0.007628751	0.099812292
165	uncultured Bacteroidales bacterium	Fumaric acid	0.608369912	0.035814401	0.203270962
172	uncultured Bacteroidales bacterium	Taurine	0.746497384	0.00528802	0.085355533
173	uncultured Bacteroidales bacterium	Arabinose	0.607427087	0.036180975	0.204086875
177	uncultured Bacteroidales bacterium	Mannose	0.734315883	0.006537925	0.09434061
178	uncultured Bacteroidales bacterium	Galactose-talose	0.657352601	0.020182953	0.153720335
181	Bacteroides	Acetic acid 	-0.846153846	0.000521134	0.035763821
182	Bacteroides	Propionic acid	-0.811188811	0.001363315	0.048202932
184	Bacteroides	Butyric acid	-0.825174825	0.000951363	0.046324428
196	Bacteroides	Alanine	-0.858144924	0.000354759	0.030989243
197	Bacteroides	Proline	-0.757663142	0.004309133	0.075052573
198	Bacteroides	Valine	-0.765245708	0.003727255	0.070223948
199	Bacteroides	Leucine	-0.596631655	0.040571236	0.219084674
