genus,compound,R,
Dubosiella,HDCA,0.705410511,
Dubosiella,omega-MCA,0.727272727,
Dubosiella,HCA,0.712875173,
Dubosiella,Sucrose,0.748251748,
Dubosiella,Maltose,0.622377622,
Ambiguous_taxa,Acetic acid ,0.699300699,
Ambiguous_taxa,Propionic acid,0.657342657,
Ambiguous_taxa,Butyric acid,0.797202797,
Ambiguous_taxa,Alanine,0.833626497,
Ambiguous_taxa,Proline,0.862168403,
Ambiguous_taxa,Valine,0.718975037,
Ambiguous_taxa,Leucine,0.596631655,
Ambiguous_taxa,Isoleucine,0.772592465,
Ambiguous_taxa,Glycine,0.713286713,
Ambiguous_taxa,4-Aminobutyric acid,0.713286713,
Ambiguous_taxa,Threonine,0.88982059,
Ambiguous_taxa,4-Hydroxyproline,0.735269157,
Ambiguous_taxa,Pyruvic acid,0.8231186,
Ambiguous_taxa,Fumaric acid,0.787521788,
Ambiguous_taxa,Adenine,0.757203629,
Ambiguous_taxa,Hydroxypropionic acid,0.694021729,
Ambiguous_taxa,Taurine,0.774667097,
Ambiguous_taxa,Arabinose,0.815450062,
Ambiguous_taxa,Glucose,0.685314685,
Ambiguous_taxa,Mannose,0.725136935,
Ambiguous_taxa,Galactose-talose,0.57830387,
uncultured bacterium,Acetic acid ,0.608391608,
uncultured bacterium,Propionic acid,0.622377622,
uncultured bacterium,Butyric acid,0.699300699,
uncultured bacterium,Alanine,0.774081748,
uncultured bacterium,Proline,0.828577426,
uncultured bacterium,Valine,0.711856472,
uncultured bacterium,Leucine,0.596631655,
uncultured bacterium,Isoleucine,0.757663142,
uncultured bacterium,Glycine,0.699300699,
uncultured bacterium,4-Aminobutyric acid,0.671328671,
uncultured bacterium,Threonine,0.896939155,
uncultured bacterium,4-Hydroxyproline,0.761395473,
uncultured bacterium,Pyruvic acid,0.700526468,
uncultured bacterium,Fumaric acid,0.821112765,
uncultured bacterium,Adenine,0.757203629,
uncultured bacterium,Hydroxypropionic acid,0.701819726,
uncultured bacterium,Taurine,0.767624669,
uncultured bacterium,Arabinose,0.815450062,
uncultured bacterium,Glucose,0.615384615,
uncultured bacterium,Mannose,0.725136935,
uncultured bacterium,Galactose-talose,0.640710763,
uncultured Bacteroidales bacterium,Alanine,0.67250541,
uncultured Bacteroidales bacterium,Valine,0.64778939,
uncultured Bacteroidales bacterium,Glycine,0.622377622,
uncultured Bacteroidales bacterium,Threonine,0.590840872,
uncultured Bacteroidales bacterium,L-Lactic acid,0.608391608,
uncultured Bacteroidales bacterium,Pyruvic acid,0.725044895,
uncultured Bacteroidales bacterium,Fumaric acid,0.608369912,
uncultured Bacteroidales bacterium,Taurine,0.746497384,
uncultured Bacteroidales bacterium,Arabinose,0.607427087,
uncultured Bacteroidales bacterium,Mannose,0.734315883,
uncultured Bacteroidales bacterium,Galactose-talose,0.657352601,
Bacteroides,Acetic acid ,-0.846153846,
Bacteroides,Propionic acid,-0.811188811,
Bacteroides,Butyric acid,-0.825174825,
Bacteroides,Alanine,-0.858144924,
Bacteroides,Proline,-0.757663142,
Bacteroides,Valine,-0.765245708,
Bacteroides,Leucine,-0.596631655,
Bacteroides,Isoleucine,-0.824845095,
Bacteroides,Glycine,-0.769230769,
Bacteroides,4-Aminobutyric acid,-0.741258741,
Bacteroides,Threonine,-0.815075661,
Bacteroides,4-Hydroxyproline,-0.821112765,
Bacteroides,Pyruvic acid,-0.896673879,
Bacteroides,Fumaric acid,-0.880830057,
Bacteroides,Adenine,-0.757203629,
Bacteroides,Hydroxypropionic acid,-0.772001698,
Bacteroides,Taurine,-0.873261091,
Bacteroides,Arabinose,-0.815450062,
Bacteroides,Glucose,-0.769230769,
Bacteroides,Mannose,-0.725136935,
Bacteroides,Galactose-talose,-0.703117655,
Lachnospiraceae NK4A136 group,Isobutyric acid,-0.594405594,
Lactobacillus,HCA,0.768860134,
Lactobacillus,Valine,0.615755849,
Lactobacillus,Glycine,0.629370629,
Lactobacillus,Niacin,0.734265734,
Lactobacillus,Taurine,0.64790339,
Lactobacillus,Sucrose,0.629370629,
Lactobacillus,Maltose,0.797202797,
Blautia,Acetic acid ,-0.587412587,
Blautia,Propionic acid,-0.636363636,
Blautia,Butyric acid,-0.643356643,
Blautia,Alanine,-0.71803963,
Blautia,Proline,-0.701678181,
Blautia,Valine,-0.683382213,
Blautia,Isoleucine,-0.683016527,
Blautia,Glycine,-0.692307692,
Blautia,4-Aminobutyric acid,-0.636363636,
Blautia,Threonine,-0.811516378,
Blautia,4-Hydroxyproline,-0.686748858,
Blautia,Pyruvic acid,-0.654992248,
Blautia,Fumaric acid,-0.806183442,
Blautia,Adenine,-0.632389844,
Blautia,Hydroxypropionic acid,-0.686223732,
Blautia,Taurine,-0.823964094,
Blautia,Arabinose,-0.740561791,
Blautia,Mannose,-0.725136935,
Blautia,Galactose-talose,-0.765524548,
uncultured,Valine,-0.605078001,
uncultured,Glycine,-0.664335664,
uncultured,4-Aminobutyric acid,-0.587412587,
uncultured,Threonine,-0.619315131,
uncultured,Fumaric acid,-0.64942555,
uncultured,Taurine,-0.83804895,
uncultured,Galactose-talose,-0.761364088,
uncultured,Maltose,-0.622377622,
