	AIN2	AIN3	AIN4	AIN5	HF2	HF3	HF4	HF5	CE2_2	CE2_3	CE2_4	CE2_5
AIN2	0	0.213296876	0.168017191	0.145475322	0.491233494	0.491995668	0.580533075	0.452930362	0.409864064	0.429645269	0.381641645	0.291364779
AIN3	0.213296876	0	0.158119335	0.136527095	0.365327021	0.419106875	0.42261952	0.323629222	0.335226582	0.334522014	0.255234231	0.188030253
AIN4	0.168017191	0.158119335	0	0.065308031	0.373341065	0.353270637	0.458262156	0.32942016	0.315071175	0.43245415	0.349395126	0.286414867
AIN5	0.145475322	0.136527095	0.065308031	0	0.390873484	0.392214652	0.47164566	0.346628686	0.305024015	0.402223332	0.315447762	0.252846957
HF2	0.491233494	0.365327021	0.373341065	0.390873484	0	0.158946477	0.127226768	0.084449068	0.309635075	0.483693241	0.463109929	0.468524238
HF3	0.491995668	0.419106875	0.353270637	0.392214652	0.158946477	0	0.228438782	0.183857635	0.290603168	0.530879639	0.508881914	0.502511048
HF4	0.580533075	0.42261952	0.458262156	0.47164566	0.127226768	0.228438782	0	0.177427333	0.33238071	0.53426728	0.516705611	0.516809361
HF5	0.452930362	0.323629222	0.32942016	0.346628686	0.084449068	0.183857635	0.177427333	0	0.327167927	0.459612036	0.430536121	0.423535775
CE2_2	0.409864064	0.335226582	0.315071175	0.305024015	0.309635075	0.290603168	0.33238071	0.327167927	0	0.382459984	0.357113633	0.353895162
CE2_3	0.429645269	0.334522014	0.43245415	0.402223332	0.483693241	0.530879639	0.53426728	0.459612036	0.382459984	0	0.120572529	0.190093696
CE2_4	0.381641645	0.255234231	0.349395126	0.315447762	0.463109929	0.508881914	0.516705611	0.430536121	0.357113633	0.120572529	0	0.150122945
CE2_5	0.291364779	0.188030253	0.286414867	0.252846957	0.468524238	0.502511048	0.516809361	0.423535775	0.353895162	0.190093696	0.150122945	0
