	AIN2	AIN3	AIN4	AIN5	HF2	HF3	HF4	HF5	CE2_2	CE2_3	CE2_4	CE2_5
Dubosiella	0.319149948	0.184730056	0.232172709	0.222968684	0.078144892	0.105378705	0.03709564	0.098717234	0.066902541	0.088104535	0.087223839	0.176937125
Ambiguous_taxa	0.102976134	0.118402498	0.094999284	0.110717309	0.051409518	0.053581229	0.044479606	0.038584394	0.11943819	0.223489388	0.186375374	0.128932951
uncultured bacterium	0.08020348	0.08199033	0.071261403	0.072735929	0.051530767	0.032862239	0.049578059	0.050854333	0.109413531	0.178219353	0.168996188	0.157161492
uncultured Bacteroidales bacterium	0.086479034	0.096242949	0.07302861	0.097757088	0.05595635	0.065930296	0.050339897	0.063529889	0.059290233	0.137549774	0.141615772	0.136394469
Bacteroides	0.036702482	0.098559629	0.059368582	0.05649598	0.146771749	0.068948957	0.171999531	0.147087157	0.028626568	0.022886303	0.024347256	0.027028437
Lachnospiraceae NK4A136 group	0.027146525	0.052780016	0.062998519	0.0648011	0.021157927	0.017220088	0.077180028	0.044617959	0.223866195	0.0428345	0.061523958	0.051656666
Lactobacillus	0.140581915	0.109639404	0.107560778	0.127962336	0.029402849	0.0266191	0.026429911	0.049738884	0.032325507	0.059380678	0.112349879	0.078215497
Blautia	0.00641818	0.007000403	0.027749916	0.020577656	0.103000909	0.137829308	0.105661041	0.095269482	0.010882384	0.001701009	0.002377341	0.003339421
uncultured	0.006798517	0.016821112	0.031284329	0.02269361	0.084874204	0.099478595	0.071612752	0.057040004	0.045834674	0.013685391	0.019756527	0.008348552
Alistipes	0.012075687	0.022209911	0.014567512	0.014123995	0.087602304	0.084248079	0.100269573	0.085078335	0.011686502	0.016430201	0.014018117	0.009392121
Unclassified	0.014024912	0.024274778	0.0396905	0.032797292	0.037223401	0.05509056	0.026312705	0.034883131	0.060469604	0.025437817	0.031315326	0.024106444
Alloprevotella	0.02681373	0.010827961	0.013230167	0.009944985	0.049469536	0.022982986	0.064932021	0.029660802	0.022890533	0.029883636	0.008853548	0.016436212
Parasutterella	0.032281069	0.02140411	0.018579548	0.020577656	0.023825402	0.020307355	0.01652602	0.018202099	0.013562775	0.032783083	0.02209288	0.032402818
Muribaculum	0.016354474	0.024224416	0.01657353	0.019096488	0.005092452	0.004390779	0.00726676	0.007250418	0.023962689	0.040669579	0.036971759	0.032298461
Roseburia	0.002186935	0.012087027	0.019678082	0.013066018	0.028675356	0.063391877	0.032407407	0.020230188	0.016350381	0.002976766	0.005164569	0.00537438
Prevotellaceae UCG-001	0.014119996	0.022209911	0.015713808	0.00788193	0	0	0	0.000202809	0.023587434	0.020218812	0.020658278	0.025776154
Coriobacteriaceae UCG-002	0.024769421	0.013446817	0.019487033	0.012854422	0.010245529	0.009330406	0.00545007	0.00932921	0.001554626	0.001198438	0.00151658	0.001721889
Candidatus Saccharimonas	0.007273937	0.014957695	0.011128624	0.010368176	0.005638072	0.00740944	0.008907642	0.006287076	0.010292699	0.008389067	0.004713694	0.011479259
Ruminiclostridium 9	0.000903299	0.002518131	0.001719444	0.002803639	0.026007881	0.023806257	0.017053446	0.020331593	0.004931918	0.001894305	0.002541296	0.000887034
Lachnoclostridium	0.003137777	0.003323932	0.007737498	0.007141346	0.018308578	0.015916575	0.007149555	0.010748872	0.01318752	0.002667491	0.004713694	0.002713279
Oscillibacter	0.001759057	0.003978646	0.005397144	0.002856538	0.007881176	0.008232711	0.004688233	0.011661512	0.016296773	0.00274481	0.003156126	0.001982781
Rikenella	0.001093468	0.003877921	0.003391126	0.003121033	0.006789936	0.012829308	0.015646976	0.012827663	0.006004074	0.004484478	0.004139853	0.002087138
Ruminococcaceae UCG-014	0.011742892	0.00810838	0.007403162	0.009151502	0.001333737	0.003841932	0.002285513	0.001673173	0.008148386	0.002822129	0.002582285	0.020975737
[Eubacterium] coprostanoligenes group	0.001616431	0.001007252	0.00205378	0.000264494	0.001879357	0.002401207	0.004160806	0.012320641	0.008362818	0.009046275	0.004221831	0.013931646
Ruminiclostridium	0	0.001460516	0.00224483	0.000740584	0.017338587	0.011663008	0.011193155	0.016072606	0.002037097	0.001237097	0.001106693	0
mouse gut metagenome	0.002709898	0.00327357	0.002340354	0.002856538	0.001030615	0.001029089	0.000937647	0.002433707	0.005896859	0.010515328	0.00848465	0.00876598
Lactococcus	0.003280403	0.005388799	0.003056789	0.002592044	0.009518036	0.005762898	0.007735584	0.010900979	0	0	0	0
Tyzzerella	0.001188552	0.00115834	0.003343363	0.002115954	0.009275538	0.008575741	0.006563526	0.011357299	0.004127801	0	0.000819773	0.000313071
[Eubacterium] xylanophilum group	0	0.003122482	0.001480632	0.002803639	0.000424371	0	0	0	0.015171009	0.003208722	0.00393491	0.006574485
Enterorhabdus	0.001759057	0.00095689	0.002435879	0.001798561	0.000606244	0.002469813	0.000937647	0.001115449	0.004771095	0.005837554	0.001475591	0.002504566
Negativibacillus	0.000808215	0.000604351	0.000764197	0.002010157	0.001515611	0.002881449	0.00140647	0.002535111	0.004824702	0.001005142	0.002254376	0.002243673
Ruminococcaceae UCG-009	0.000570505	0.000805802	0.001146296	0.001692763	0.003940588	0.003018661	0.00281294	0.004664605	0.002465959	0.000386593	0.000942739	0.000156535
GCA-900066575	0	0.001107977	0.001767206	0.001216674	0.002424977	0.002263996	0.001347867	0.00319424	0.003698939	0.001275757	0.001147682	0.000626141
Turicibacter	0.005609965	0.010576148	0.005349381	0.004390605	0	0	0	0	0	0	0	0
Marvinbryantia	0.001901683	0.003323932	0.001146296	0.002274651	0.001576235	0.001166301	0.001289264	0.00182528	0.000643294	0.001198438	0.000819773	0.002661101
Ruminococcaceae UCG-010	0.001283636	0.001057615	0.002101543	0.001269573	0.001939982	0.002263996	0.001992499	0.002940729	0.000750509	0.000618549	0.000409886	0.00067832
Ruminiclostridium 5	0.000190168	0.001712329	0.001576157	0.001586966	0.002364353	0.00185236	0.001113455	0.0022816	0.000589686	0.000695867	0.000491864	0
Ruminococcaceae UCG-004	0.000190168	0.000805802	0	0.000793483	0.00315247	0.002881449	0.002695734	0.003447751	0.000643294	0.000463912	0.000450875	0
Acetatifactor	0.000475421	0.002518131	0.001623919	0.001322471	0	0.000617453	0.000234412	0.000354916	0.001822665	0.000193296	0	0.000834855
Anaerotruncus	0.000190168	0.000352538	0.001146296	0	0.00218248	0.003910538	0.002695734	0.002078791	0.000107216	0.000115978	0.000491864	0
A2	0	0.000402901	0.002197067	0.001057977	0.001939982	0.002058178	0.001113455	0.000861938	0	0.000425252	0.001475591	0.001408818
