relative.area	Formic acid	Acetic acid	Propionic acid	Isobutyric acid	Butyric acid	Isovaleric acid	Valeric acid	Deoxycholic Acid	Hyodeoxycholic acid	beta-MCA	omega-MCA	Cholic acid	Chenodeoxycholic acid 	Lithocholic acid	HCA	alpha-MCA	Ursodeoxycholic acid	Alanine	Proline	Valine	Leucine	Isoleucine	Glycine	4-Aminobutyric acid	Methionine	Serine	Threonine	Phenylalanine	Tyrosine	4-Hydroxyproline	Lysine	L-Lactic acid	Malic acid	Pyruvic acid	Hippuric acid	Fumaric acid	Fructose	Arabinose	Ribose	L-sorbose	Glucose	Mannose	Galactose_talose	Sucrose	Lactose	Maltose	Trehalose	Raffinose	Cytosine	Adenine	Niacin (Nicotinic acid)	Biotin	Pyridoxine	Pyridoxamine	Pyridoxal	 N,N-dimethylglycine	4-hydroxyphenyllacetate	Serotonin	5-Amino-n-valeric acid	3-Indoleacetic acid	Hydroxypropionic acid	5-Hydroxy-3-indoleacetate	Taurine	Homovanillic acid	Quinic acid
01_precision-day1-1	0.2543927769684756	4.775496090276798	3.7055023104782454	0.27586763916462315	2.6968847174401915	0.20821584512122246	0.35385251157170017	1.7391390482065234	0.6032893262750525	0.030284465121257518	0.019107508493026264	0.11897489956980285	0.21483162706728304	0.16994488902185367	0.02977642622093917	0.01852799404395658	0.08323473928740799	0.4815584962136778	0.5641187826419523	0.6411670452743405	0.552265327064099	0.6506504640986802	0.8484593241852876	0.6799325514228941	0.1717490404748697	0.23236493821045767	0.1652370679005498	0.33285758703975193	0.06756063667988216	0.5326074284077859	0.058004893104732766	0.7836717306777735	0.22556010352035144	0.011983107093755312	0.24150248514248798	0.1731998298267834	0.13764091006614837	0.10339840695749603	0.033738575151337075	0.15594357881865153	0.18712408043362022	0.1593714016745007	0.1664928392243136	0.5174912076172857	0.1879783184855575	0.16498676270547666	0.5666181961465963	0.5082527807541191	0.23983686078634153	0.04585880382226054	0.04686934480036409	0.010244467017246513	0.7533490140624689	0.023585865865026985	0.07947903704185204	0.4223051791689828	1.1937616484414881	0.0782149405740866	0.6942386243578483	0.419125720034568	0.01194502462486237	0.35719325798129253	0.07723803265093994	0.14650845655376643	1.42817795307811
02_precision-day1-2	0.3090382287443534	5.186052869829098	3.5529163262312036	0.28418529410298354	2.713454155181893	0.2218574911560693	0.3869845532014241	2.123936185603748	0.6438418626050136	0.03153297717630202	0.019976911873390454	0.13844444907875753	0.26678530856799365	0.2161255604041262	0.033961132864518614	0.021976539092160404	0.10686901030871956	0.6504917244269364	0.7034213611447434	0.8582037686215526	0.7724160893909813	0.8189460350216677	0.9002616253862588	0.8350327878095231	0.23590036828058217	0.3074895384983031	0.1980684064256346	0.44766899738345833	0.098612772207272	0.7348606296404869	0.08663085133483978	0.941754876169812	0.2974132606699594	0.016543972041411815	0.2800079949782104	0.22396885299175778	0.1344693647211967	0.10898338047374954	0.04094825908321996	0.1659344696414239	0.16488039158111978	0.14469827251016654	0.14771176567930472	0.5218110215424148	0.22039035374244437	0.19561093902818877	0.4917511353570387	0.48928164302393873	0.3109470410117631	0.03792570884847711	0.05426808605512161	0.013452718523809028	0.8271237580817478	0.028470866694341034	0.09184859058547737	0.5279991041901082	1.3904225298104973	0.08882313428472292	0.8429996474865854	0.5016913011754608	0.016086736292345565	0.4599990091389747	0.10886894381082232	0.20629844930276517	1.6208030661607213
03_precision-day1-3	0.33636568529661937	5.308387602276866	3.518363591641281	0.29454763279193646	2.74889208509948	0.2293640054761117	0.4001775705433356	2.353152558733426	0.7255216080534268	0.03341892926836343	0.021638372377603427	0.16002269917423517	0.30232605561670944	0.27109558724724836	0.03809027814126531	0.02485048068884563	0.1235768769394719	0.6825075642903515	0.6724069829590874	0.8518422102447691	0.7522090924716948	0.8298776513314354	0.9136660374862292	0.8592882966780194	0.2291939100589433	0.3419575066924361	0.2205385976736832	0.45159597599421086	0.108526644565602	0.7393492218474943	0.09551163512210299	0.9983834964647392	0.3076874163389037	0.019466192673966237	0.28860684921380747	0.254167996572814	0.16371471563459736	0.09184808164849935	0.04545608929649951	0.13048150484600024	0.17360886485035515	0.1706020949603325	0.17313074501378573	0.512094987638469	0.2406429699598716	0.18782040799169444	0.5630027675226458	0.5694620127765259	0.31985036104296677	0.05507709353051817	0.06284526774339305	0.01611733125190141	0.8647661376278587	0.030501187554402363	0.10152828009343873	0.5693498141458181	1.4670283642349713	0.0866471056199374	0.8923421007185285	0.5195788378635326	0.013612209192218004	0.5075845642112264	0.11786718547127205	0.22015399935942975	1.6322277159841052
04_precision-day1-4	0.35728072636034724	5.4101278406722075	3.48532807168881	0.30196562717358544	2.805669955826321	0.23549194084192152	0.41395123926148436	2.5118545425646857	0.7799323010018137	0.03544249972421745	0.023486401140305816	0.17145536633352215	0.32037308861129415	0.29756690651295337	0.041120790277579415	0.026623405879674687	0.13559340548454343	0.7168845872507748	0.6974756004317045	0.8902776552147601	0.8122637486009447	0.8403039167517545	0.9212124912252823	0.8813548479935953	0.24533683811865822	0.35760216763278274	0.22278677314880113	0.46594609064601095	0.10104358016907793	0.7588916314272406	0.09972798642159006	1.072467850433882	0.338094203374466	0.018418861387986398	0.32889360643093146	0.2698265366377373	0.13756905249272602	0.1020688724459198	0.04522934995286213	0.199177128975634	0.1939466603605252	0.16084223386828977	0.16913392307902775	0.5719572901819437	0.26364119043291157	0.1858161294189663	0.5470664824895511	0.4873005701628827	0.35003659751329896	0.05454278125772152	0.06172173596033343	0.01655343220618845	0.8537486166851924	0.028154113848709077	0.10356808802171016	0.6048924138023409	1.5214673722843046	0.09101392411270441	0.8995626269682587	0.5341476653200932	0.01903329312202786	0.5301398613992047	0.12723173263329632	0.2411661061955835	1.622220256619558
05_precision-day1-5	0.372879451611167	5.478318869771988	3.487275234397161	0.3022782057216168	2.782980051331095	0.23762958616211768	0.41296238340375224	2.4940958425758972	0.7802509660860754	0.034209474296299704	0.021199970371073188	0.16844602071224427	0.3200153850973237	0.24935340749091695	0.04095208145567463	0.027320231823678987	0.13488988277227917	0.7005559833968839	0.7522262548872641	0.9034225169265949	0.8650012830145589	0.9062359573127103	0.8860557711292212	0.8499000368115318	0.2819142210139009	0.36401812563780855	0.22682070818431949	0.4360563996820119	0.10401745798768611	0.8105519296494094	0.10365868660182927	1.0778023490235338	0.33179434564759913	0.019841125715403703	0.33293089121162006	0.26763674446039043	0.12942984413979278	0.09174270357153264	0.04615071496818088	0.13456927532461313	0.1917835509635529	0.1393398685322823	0.17729992112858425	0.5332124615842099	0.2552051245399028	0.1549925392367496	0.47196626160756117	0.47053076237805797	0.33454361830290275	0.05555882168230675	0.06424258475720405	0.017725122973784882	0.7934904660521481	0.029506878451579333	0.09400163582619923	0.6044777084037147	1.5005967472769235	0.09181958852003132	0.8971073032130682	0.5339866467968678	0.017944137452907384	0.5287821362338909	0.12765293650580356	0.23530412640675588	1.5823506335476207
06_precision-day1-6	0.3759945994598384	5.592272531139061	3.4681528679425435	0.31064206155176477	2.812596713882716	0.24173421394809894	0.42020303482682664	2.5812893696693844	0.8121540151574121	0.035255818777732685	0.022099366970842187	0.17302085894690605	0.3347710352826252	0.30129254053963445	0.04301931742535747	0.028544147813669325	0.14045797635850668	0.7193763928539774	0.7825849567196028	0.9475035482715529	0.9078613365156984	0.9220188096792914	0.9164936739623241	0.8717093505900064	0.29540172231783646	0.3624954798676985	0.22215826498366256	0.484605875359591	0.11958975785695974	0.844075711121951	0.10915730106746394	1.0595059073679813	0.3416328100680485	0.02013031552534708	0.3089706774581429	0.27107926788333203	0.12200663406462149	0.0854470153331707	0.045800735203953544	0.12116614003331606	0.1549026532566022	0.143310166999829	0.15284944016785745	0.5196490540163715	0.26189523550680777	0.1523157509410532	0.5012941841817411	0.520594920080169	0.3689729144495282	0.058662552048748144	0.060558602027720176	0.017549319630646036	0.8264231703549635	0.02941822831196235	0.10492480920776444	0.6211338343912958	1.5016461857865722	0.0946962789504363	0.9090404535422569	0.5420865132716323	0.014805046537067745	0.54216259663825	0.13291021533767133	0.24015204820081634	1.5692707973205715
07_precision-day1-7	0.3990003557457831	5.689916285917233	3.479841650439634	0.3102692139563552	2.8460136592887957	0.2437073466256166	0.4277786011198307	2.5980308369497678	0.8140956981980434	0.03694962481510586	0.021594654160730614	0.17532589946850702	0.32772104996342544	0.30545387413203207	0.04199798089675912	0.027981371830850733	0.13915473676733728	0.7299763385356949	0.7610636030235912	0.9388564576714505	0.8913217380899449	0.9107408361285108	0.8943622988515869	0.8924191976281656	0.29993861459686244	0.34506579417584055	0.21818912106426697	0.48662196171106736	0.10539227984030355	0.8312968664784226	0.10672435760258236	1.0985765160017011	0.34691661035504173	0.020228975708734175	0.31239736849272637	0.26951920079646946	0.13649201077846038	0.09556668407599368	0.04806186678620384	0.15423938763179046	0.18008821915481688	0.15006215678091156	0.17357525611778143	0.575384400630438	0.2621128021603568	0.18690096233815853	0.5242250563435794	0.532669219719093	0.3483610945536835	0.05540986032983478	0.06202131156029766	0.018492440349453704	0.8113457193508079	0.028239664552203808	0.10570695207946218	0.6264522087411931	1.518882150572671	0.08992740235108351	0.9253748458370922	0.5357658124418567	0.018298399145191678	0.5474848642982534	0.12639707780798867	0.24565611262093143	1.5834920540559223
08_precision-day1-8	0.4094095912542609	5.723437946647736	3.467463471941853	0.3147816157852353	2.846029664593908	0.24576710873953433	0.431828379041222	2.5675977597981454	0.8224708832590761	0.034370187368502544	0.02155105300990543	0.17807706051107988	0.3328200174998683	0.30169827086098283	0.04302527821614293	0.028726264128146564	0.13627444529866664	0.7585979849785993	0.7833350462424096	0.9896912779157352	0.939120912490139	0.9747358357157129	0.9098367724698088	0.8695772200523766	0.31322747427035597	0.38036207610894895	0.23919166749586493	0.48891987814460197	0.10386739254638223	0.8374458089153279	0.11112733175526933	1.121604185802606	0.3612761335406216	0.021950714767235365	0.3214643722774665	0.26886805556084725	0.14627893084360594	0.09600724751333058	0.045727690377290596	0.14149219789153514	0.15246426501090993	0.1348201326452977	0.15916145481917907	0.5286229773607912	0.25508459530018296	0.15923312678410897	0.539138445046647	0.493478429989081	0.3528974245081499	0.06036055848194177	0.062287245299614206	0.018615494208210952	0.8105519702483209	0.029019207722124817	0.10275482525352923	0.6448151548064553	1.5694277905775387	0.09081680817445198	0.9085620352186624	0.5367027505638383	0.016978427341223613	0.5376103036222664	0.1287556700676883	0.23973775548882573	1.5815545670591458
09_precision-day1-9	0.4142335030771265	5.826815863108083	3.4767049435213457	0.31955248521654206	2.886106573427753	0.2507651092571593	0.4362161521303962	2.6092650449797343	0.8373967496146605	0.03866072317794921	0.021666105665980862	0.17946383356810705	0.3397214300402174	0.3055199606717983	0.04395354124833576	0.029161537321548307	0.14368525915757638	0.7439994480227157	0.7547807734712936	0.9583225473055909	0.9332289832538243	0.9797932417016237	0.962386090767191	0.8864463913861328	0.3042484140913523	0.3580958222632638	0.22284896782663705	0.5192043282808019	0.12648109182834233	0.8276679228734317	0.11141514942825022	1.1554329083658916	0.3800337491081582	0.02090206165288902	0.33224622028712475	0.26719447040079825	0.1477141131620218	0.1100177931493332	0.049929460345213623	0.15833668878437832	0.16125909688597623	0.14844587543141655	0.17357140249094555	0.4858684252997463	0.26740026405876444	0.159660760314204	0.4770793756793989	0.4495903717961239	0.3690440748053352	0.06007027431664112	0.0629777664545224	0.018197010695321925	0.8258289294268073	0.03038324788667027	0.10238510427843944	0.6518637363530503	1.5885819071934608	0.09381305239274529	0.9041629126630849	0.5195287743010946	0.01706731615856248	0.559566119540933	0.1390526893227356	0.24881510655584907	1.615717916192554
10_precision-day1-10	0.42487469699969205	5.812286382344886	3.452775267021246	0.31815963114321616	2.8740616255079243	0.2534307508682171	0.4387928939416991	2.6374810775657864	0.8549794982761959	0.036249124573142014	0.022079031761267767	0.1784412851214815	0.3493216730716682	0.31515163859988865	0.0445068992659993	0.027307195369449873	0.14594593284316001	0.7694690104783117	0.7681605299694392	0.9594053305714494	0.9149646353634926	0.9667183675072278	0.9597603390139317	0.8861854875096732	0.2964488029537756	0.3538894399308995	0.22404101946009372	0.4999112694627248	0.1066017659530868	0.8176799295752649	0.10985794738970078	1.1699656342101659	0.3547883044542663	0.022032493543834863	0.31349980149207657	0.26663716974592244	0.14952807829426515	0.09320754865361082	0.046954672468673145	0.16678401884862035	0.15826770038529805	0.16127972861398468	0.16473183181982928	0.5243093045249643	0.2562362239288518	0.1943909415225375	0.4960192588854985	0.48624031650454136	0.36551556954045955	0.062125545895818264	0.06267264077234792	0.018876882190304322	0.8492408647702284	0.029886490568791838	0.1046815854753306	0.6711946868247315	1.5824236594796905	0.0925099978600229	0.9115037037629402	0.5406358476550016	0.0170138420019207	0.5706963937927817	0.13163686656394494	0.25083777149828884	1.6649563468147757
