	AIN2	AIN3	AIN4	AIN5	HF2	HF3	HF4	HF5	CE2_2	CE2_3	CE2_4	CE2_5
Formic acid 	0.230763386	0.274151749	0.383657223	0.466266962	0.375997174	0.458512314	0.238249097	0.232594894	0.239033376	0.358982	0.348913766	0.473956843
Acetic acid 	19.73250805	8.561195129	17.52114016	15.23474638	7.377168776	20.85452151	11.24255934	11.74463634	31.78915397	23.29836958	47.90959638	68.11439556
Propionic acid	7.96744529	3.77654565	6.370392376	3.814213466	3.637927949	7.32205343	4.632064534	5.521310923	10.79513741	12.02618025	14.97741884	20.60810103
Isobutyric acid	0.899378387	0.277295672	0.522529595	0.255203908	0.571441421	1.565572761	0.794408296	0.894886359	0.34774516	0.555947358	0.81852416	1.485716905
Butyric acid	3.433942034	2.395521163	2.380416216	2.1163435	1.283188091	4.025076594	1.907809698	1.989510435	13.35870283	5.136295263	10.19202845	11.70778933
Isovaleric acid	0.571437089	0.226014333	0.378299054	0.226431043	0.365526978	0.83782118	0.440837881	0.529546574	0.207008679	0.290522205	0.498998356	0.586005175
Valeric acid	0.91588978	0.436137981	0.843265115	0.524756593	0.504275798	1.463683852	0.634199641	0.652428626	1.093576569	0.49255933	0.759770743	0.925872164
DCA	0.510655343	0.742194491	0.589800781	0.396946332	0.438419445	0.537159909	0.467148065	0.545374269	0.273760387	0.929808681	0.620976258	0.260876796
HDCA	0.044575812	0.04816124	0.076555867	0.037332372	0	0	0	0.039966048	0	0.042320549	0	0
beta-MCA	0.105895425	0.213963912	0.388887998	0.061129885	0.190019243	0.719255567	0.270378336	0.642789471	0.050110391	0.306865025	0.218759842	0.116702842
omega-MCA	1.754349644	2.204774348	3.596317561	1.629639581	0.644695979	1.323691544	0.823334007	1.561148335	0.300929065	0.769778147	0.614264718	0.318054522
CA	0	0.040041899	0.083553411	0	0.029425451	0.349095687	0.042969524	0.379748367	0	0.027358245	0.036800147	0.047025325
LCA	0	0	0.012545133	0	0	0	0	0	0	0	0	0
HCA	0.014070057	0.025332403	0.038820499	0.029739208	0	0	0	0	0	0.005912866	0.003672254	0
alpha-MCA	0.358071231	0.380936396	0.811435007	0.259551587	0.182306904	0.457174155	0.264089789	0.606333483	0.105581211	0.356884251	0.243069509	0.157335259
UDCA	0	0	0	0	0	0.009716599	0	0.011211104	0	0	0	0
Alanine	0.05740703	0.043849869	0.09310898	0.077641181	0	0.013449401	0.007504306	0	0.154378256	0.086640583	0.210744214	0.155333168
Proline	0	0.009267365	0	0.011010747	0	0	0	0	0.079935002	0.019168023	0.066632204	0.06554177
Valine	0.020697567	0.013432786	0.042025925	0.022046443	0	0	0	0	0.029262963	0.017374862	0.05798184	0.046151459
Leucine	0	0	0	0	0	0	0	0	0.015187859	0	0.026319777	0.021751268
Isoleucine	0.007058931	0	0	0.007721941	0	0	0	0	0.0224738	0.007369061	0.02097716	0.017232278
Glycine	0.126935046	0.081478159	0.124890952	0.097918362	0.002151444	0.005807141	0	0.002324904	0.132360045	0.071261102	0.137776399	0.148720391
4-Aminobutyric acid	0.205147573	0.144719595	0.175277936	0.192102646	0.02451124	0.049352119	0.036231129	0.031878958	0.2867388	0.144047963	0.270533107	0.215042237
Serine	0	0	0	0	0	0	0	0	0.015918198	0	0.007569114	0.010725529
Threonine	0.010099525	0.011559344	0.010832803	0.010037226	0	0	0	0	0.064051323	0.017222566	0.054710479	0.045094896
Tyrosine	0	0	0	0	0	0	0	0	0.090195369	0	0.124770808	0
4-Hydroxyproline	0.006967886	0	0.006979908	0	0	0	0	0	0.033688764	0.01031293	0.021800235	0.028104555
Lysine	0	0	0	0	0	0	0	0	0.038353497	0	0.0269785	0.026659838
L-Lactic acid	0.070129939	0	0.081372765	0.060099726	0.051309172	0.083616333	0.056562763	0.091185267	0.053477226	0.17060348	0.305253376	0.25536729
Pyruvic acid	0.053732616	0.049903333	0.065828481	0.065679986	0	0.071134379	0	0.04770366	0.092546085	0.123904032	0.185145153	0.148312589
Fumaric acid	0.010813554	0	0.008899102	0	0	0	0	0	0.022912439	0.031056715	0.031136271	0.038752001
Adenine	0	0	0	0	0	0	0	0	0.412896995	0.191384512	0.269595046	0.326816239
Niacin	0.070706146	0.040614522	0.069743864	0.077924487	0.015705304	0.027580219	0.031197761	0.018383017	0.063942625	0.027737232	0.035434173	0.034334234
5-Amino-n-valeric acid	0.04522384	0.024997675	0.198196392	0.039490499	0.029317593	0.377709695	0	0.311217659	0.095230622	0.175276789	0.298563274	0.529764754
3-Indoleacetic acid	0	0	0	0	0	0	0	0	0	0	0	0.012750096
Hydroxypropionic acid	0.024948078	0	0	0.014178972	0	0	0	0	0.030736353	0.031170724	0.031458646	0
5-Hydroxy-3-indoleacetate	0.010857335	0	0	0	0	0	0	0	0	0	0	0
Taurine	3.748400677	1.315995232	2.412753001	1.445714829	0	0.276325005	0	0	2.259347157	3.412814176	3.621250268	3.994521903
Arabinose	0	0	0	0	0	0	0	0	0.072442923	0.072601745	0.226154386	0.193290141
Sucrose	0.045496423	0.045004731	0.043623979	0.053036866	0.015519277	0.030768677	0.011037885	0	0.021929515	0.021170923	0.015985596	0.020697665
Fructose	0	0.011912906	0	0	0.007412864	0.024040791	0	0	0.025525484	0.013607605	0.016705166	0.015938861
Glucose	0.081220518	0.060432485	0.149780279	0.085519823	0.029888164	0.075454989	0.039197364	0.043548411	0.174136321	0.081460005	0.094153439	0.163112848
Mannose	0	0	0	0	0	0	0	0	0	0.008983965	0.011842838	0.01376517
Galactose-talose	0.049099559	0	0	0	0	0	0	0	0	0.010342502	0.020019263	0.019141409
Maltose	0.417389274	0.281356651	0.211468112	0.391933749	0.08845079	0.109611235	0.060592771	0.049775246	0.216337175	0.17251826	0.197584569	0.185582412
