	Formic acid 	Acetic acid 	Propionic acid	Isobutyric acid	Butyric acid	Isovaleric acid	Valeric acid	DCA	HDCA	beta-MCA	omega-MCA	CA	LCA	HCA	alpha-MCA	UDCA	Alanine	Proline	Valine	Leucine	Isoleucine	Glycine	4-Aminobutyric acid	Serine	Threonine	Tyrosine	4-Hydroxyproline	Lysine	L-Lactic acid	Pyruvic acid	Fumaric acid	Adenine	Niacin	5-Amino-n-valeric acid	3-Indoleacetic acid	Hydroxypropionic acid	5-Hydroxy-3-indoleacetate	Taurine	Arabinose	Sucrose	Fructose	Glucose	Mannose	Galactose-talose	Maltose
AIN2	-1.147048522	-0.216068172	-0.092537297	0.351859159	-0.366167876	0.757188921	0.484908101	-0.082484343	0.760463255	-0.778922654	0.485446329	-0.653066053	-0.288675135	0.307309175	0.04736727	-0.426870244	-0.25466472	-0.68089703	-0.002528394	-0.536242058	0.017934522	0.824255421	0.61307116	-0.521977719	-0.374492221	-0.421679159	-0.165720344	-0.541529637	-0.402244613	-0.391440233	-0.077270198	-0.64287712	1.27976709	-0.776524082	-0.288675135	0.968825184	3.175426481	1.186545194	-0.579543438	1.124074912	-0.986908735	-0.178289634	-0.54237633	2.725681553	1.845501649
AIN3	-0.691819901	-0.837773421	-0.889491832	-1.104230208	-0.609918	-1.090356307	-1.11555544	1.154611683	0.893468621	-0.277374752	0.961545097	-0.350175522	-0.288675135	1.117009244	0.161287702	-0.426870244	-0.450856659	-0.379883644	-0.368040429	-0.536242058	-0.792728135	0.064249327	-0.034798059	-0.521977719	-0.310435557	-0.421679159	-0.737372489	-0.541529637	-1.176132813	-0.460862464	-0.803457667	-0.64287712	-0.099004904	-0.895637352	-0.288675135	-0.769170261	-0.288675135	-0.353171688	-0.579543438	1.094156931	0.238372718	-0.609009813	-0.54237633	-0.547827246	0.698319753
AIN4	0.457106275	-0.339135088	-0.396237856	-0.530218908	-0.613463608	-0.275838721	0.242630472	0.340383702	1.946798312	0.534451255	2.432405827	-0.021039659	3.175426481	2.086728365	2.306148139	-0.426870244	0.261994689	-0.68089703	1.070562665	-0.536242058	-0.792728135	0.790079656	0.292828467	-0.521977719	-0.34231608	-0.421679159	-0.164734048	-0.541529637	-0.278179335	-0.172150635	-0.205835798	-0.64287712	1.235676167	0.124341748	-0.288675135	-0.769170261	-0.288675135	0.341077889	-0.579543438	1.010142321	-0.986908735	1.242242677	-0.54237633	-0.547827246	0.108940051
AIN5	1.323843691	-0.46637734	-0.882328803	-1.155939702	-0.675449801	-1.088127472	-0.819921619	-0.690022925	0.491759939	-0.986680376	0.353627833	-0.653066053	-0.288675135	1.433834026	-0.443484225	-0.426870244	0.038153025	-0.323256834	0.065337439	-0.536242058	0.094076001	0.339117566	0.473211993	-0.521977719	-0.377225893	-0.421679159	-0.737372489	-0.541529637	-0.512928632	-0.174842746	-0.803457667	-0.64287712	1.610505185	-0.810288119	-0.288675135	0.218600771	-0.288675135	-0.271058957	-0.579543438	1.582888212	-0.986908735	-0.089209661	-0.54237633	-0.547827246	1.630831692
HF2	0.376737409	-0.903666786	-0.915851806	-0.415732542	-0.871017649	-0.344152078	-0.888246044	-0.468435242	-0.893125161	-0.388502416	-0.687457239	-0.430481943	-0.288675135	-0.704249707	-0.828338114	-0.426870244	-1.085428369	-0.68089703	-1.043882543	-0.536242058	-0.792728135	-1.26203566	-1.323593343	-0.521977719	-0.817658036	-0.421679159	-0.737372489	-0.541529637	-0.609932937	-1.365575097	-0.803457667	-0.64287712	-1.24032357	-0.870197059	-0.288675135	-0.769170261	-0.288675135	-1.186198962	-0.579543438	-0.699944349	-0.22447136	-1.241876589	-0.54237633	-0.547827246	-0.928482015
HF3	1.242482296	-0.153625945	-0.215267024	1.911199293	-0.227409954	2.181984038	2.312362302	0.059127534	-0.893125161	2.06769342	0.030240856	1.987612355	-0.288675135	-0.704249707	0.541124823	1.951447332	-0.890795874	-0.68089703	-1.043882543	-0.536242058	-0.792728135	-1.200915065	-1.057265701	-0.521977719	-0.817658036	-0.421679159	-0.737372489	-0.541529637	-0.253421424	-0.075958403	-0.803457667	-0.64287712	-0.696225311	1.181507877	-0.288675135	-0.769170261	-0.288675135	-1.011284752	-0.579543438	0.227935821	1.485765467	-0.297749214	-0.54237633	-0.547827246	-0.75003306
HF4	-1.068508802	-0.688550298	-0.726803695	0.106158982	-0.724399261	0.058659541	-0.454816978	-0.314940415	-0.893125161	-0.015554338	-0.498636901	-0.328029972	-0.288675135	-0.704249707	-0.420873676	-0.426870244	-0.97683009	-0.68089703	-1.043882543	-0.536242058	-0.792728135	-1.298006239	-1.197940366	-0.521977719	-0.817658036	-0.421679159	-0.737372489	-0.541529637	-0.551959236	-1.365575097	-0.803457667	-0.64287712	-0.530472689	-1.042850371	-0.288675135	-0.769170261	-0.288675135	-1.186198962	-0.579543438	-0.972623587	-0.986908735	-1.048993487	-0.54237633	-0.547827246	-1.163412537
HF5	-1.127832428	-0.660608739	-0.557701831	0.341344811	-0.705221521	0.533131241	-0.394004646	0.103016233	0.589459026	1.712812816	0.281232608	2.219479643	-0.288675135	-0.704249707	1.284276911	2.317255112	-1.085428369	-0.68089703	-1.043882543	-0.536242058	-0.792728135	-1.259135535	-1.244601494	-0.521977719	-0.817658036	-0.421679159	-0.737372489	-0.541529637	-0.169897771	-0.500741002	-0.803457667	-0.64287712	-1.117633094	0.789931726	-0.288675135	-0.769170261	-0.288675135	-1.186198962	-0.579543438	-1.644245723	-0.986908735	-0.958841439	-0.54237633	-0.547827246	-1.254638219
CE2_2	-1.060280184	0.454907576	0.445185448	-0.939331316	1.963486451	-1.192010888	1.077675503	-1.348196043	-0.893125161	-1.037822057	-1.050818757	-0.653066053	-0.288675135	-0.704249707	-1.210606254	-0.426870244	1.148650684	1.91547266	0.428421324	1.008717134	1.788210879	0.914957459	1.48783888	2.392347235	1.992905505	1.701455255	2.026486475	2.167783245	-0.586008327	0.312220897	0.73523406	2.010011606	0.96986845	-0.48203072	-0.288675135	1.372062483	-0.288675135	0.243971723	0.312955218	-0.309900628	1.638471012	1.746890654	-0.54237633	-0.547827246	0.150001532
CE2_3	0.19821502	-0.017621057	0.679284391	-0.451999006	0.033428109	-0.745326314	-0.927332463	2.157020005	0.676801812	0.153781079	-0.555245427	-0.446118991	-0.288675135	-0.279147511	0.041453415	-0.426870244	0.168387529	-0.058300262	-0.169703243	-0.536242058	0.053550511	-0.106572436	-0.041998857	-0.521977719	-0.061934129	-0.421679159	0.108710319	-0.541529637	0.706487105	0.880718612	1.282165362	0.586780205	-0.689031113	-0.010633363	-0.288675135	1.402322723	-0.288675135	0.974118354	0.314911909	-0.356058672	0.412678069	-0.173327554	1.147966097	0.141716041	-0.21952943
