É M	Alanine	Proline	Valine	Leucine	Isoleucine	Glycine	4-Aminobutyric acid	Methionine	Serine	Threonine	Phenylalanine	Tyrosine	4-Hydroxyproline	Lysine	L-Lactic acid	Malic acid	Pyruvic acid	Hippuric acid	Fumaric acid	Cytosine	Adenine	Niacin (Nicotinic acid)	Biotin	Pyridoxine	Pyridoxamine	Pyridoxal	" N,N-dimethylglycine"	4-hydroxyphenyllacetate	Serotonin	5-Amino-n-valeric acid	3-Indoleacetic acid	Hydroxypropionic acid	5-Hydroxy-3-indoleacetate	Taurine	Homovanillic acid	Quinic acid	Arabinose	Ribose	Fructose	L-sorbose	Glucose	Mannose	Galactose_talose	Sucrose	Lactose	Maltose	Trehalose	Raffinose
1_testfeces-1	33.09137873	29.78804499	11.7784221	8.031090142	4.871099904	38.64888721	26.71705774	0.564988724	2.859634144	8.33024876	7.209806091	68.67693057	2.808789633	22.39771414	15.32871918	0	28.19429585	0	21.63889701	0.539676941	27.6376525	16.82348455	2.349825285	0.103314094	0	1.018889042	0	3.295264318	0.667592049	25.48934128	1.285763191	15.88091703	1.10241757	0	0	0.562607779	0	0	8.701215339	0	14.61465938	0	3.390078248	6.55154526	0	6.31140301	0	0
2_testfeces-2	39.55016338	42.85202897	13.61601974	10.41731899	5.67402516	42.67684332	18.46516291	1.512845718	5.831665357	11.04615678	7.213614321	161.3206226	3.616289032	50.57031467	6.233661903	0	27.27208917	0	24.40270898	0.738739243	73.67043787	15.89569448	4.23787228	0.101404112	45.16602359	0.929953364	0	2.197692026	1.163897745	25.8817307	1.497339291	13.28134839	1.409305584	0	0	0.915323371	0	0	4.778494236	0	12.87033638	0	4.66305039	14.37988467	0	9.275064327	0	0
3_testfeces-3	35.32147658	38.22129884	13.04912803	9.497187512	5.192393515	39.82363161	14.24234878	1.912915893	7.508253981	13.08476175	8.429270597	181.3506944	4.245417376	58.40220179	5.799001334	0	26.15266907	0	24.44049321	0.746008404	67.00004634	15.32381181	3.604979459	0	56.55600501	0.772298982	0	1.732152408	0.77308958	25.55774194	1.28511711	8.246023666	2.03515978	0	0	0.715983968	0	0	2.51219122	0	10.55321084	0	3.066081948	10.33098899	0	8.955787174	0	0
4_testfeces-4	39.57818035	45.59487148	14.55485959	10.24822708	5.912843208	44.32696584	17.14215124	1.665322535	6.556281057	11.89022549	8.885671187	184.4146387	4.118789199	61.73208373	5.421286453	0	35.16626014	0	26.97793114	0.746815259	75.95335559	16.01346544	4.170798677	0	43.76772415	0	0	2.046868265	1.391547977	27.24836282	1.066207428	14.11627849	2.316554892	0	0	0.753123546	0	0	2.873599099	0	9.957934454	0	2.501878808	11.08469774	0	7.490691357	0	0
13_testfeces_STD-1-1	79.83064747	90.14225037	67.32330705	61.45499503	54.10801288	90.21324862	60.55756835	16.76353921	42.95497567	57.99652627	67.76963597	251.6189175	44.96383685	95.97674217	64.55804504	31.20504782	30.47783555	42.53584302	33.29715776	46.96504409	18.54691795	21.91635548	5.864446204	33.4695776	79.16066571	53.36375053	46.12218384	34.45509091	4.71408786	66.22936761	48.24884655	14.4786872	47.0559866	50.47651154	51.61490688	39.16075339	83.93961548	171.4121066	57.14374948	54.86714589	73.6410579	55.61531871	95.67553451	35.90507476	33.31182781	77.56356844	49.72792472	27.28503416
14_testfeces_STD-1-2	87.61417452	93.75694992	72.80593212	65.00539969	56.63137837	95.24932705	62.16783075	17.71506762	45.18135288	60.74856841	69.79334959	308.2046172	46.93203565	98.94325645	63.90653705	30.50927996	34.94639659	45.32766746	37.231739	51.64541305	25.97882235	21.3102506	7.768368414	35.4484596	106.3397484	56.55703416	48.60500536	33.87975157	5.045104936	66.00314794	50.76395472	15.52029011	48.50637948	64.56888954	53.37103317	39.90381593	85.73041814	179.9180771	64.75966957	55.88507006	70.80648694	57.19659394	97.91940365	38.54932832	31.45812657	77.52008013	48.38136691	28.34527951
15_testfeces_STD-1-3	81.37792049	86.16616883	71.27318227	61.99391589	56.37335122	92.75340481	62.31658914	17.4149048	41.16132013	60.95973788	68.16619528	275.4153488	46.77741488	101.7646994	67.96875719	30.36701294	33.34854926	44.00282384	35.98807771	49.90667845	20.60520397	22.26909246	6.316799958	34.556415	99.18280779	52.62666571	48.23226371	34.32187602	5.090838523	65.33196081	49.66123457	21.14241526	48.8914157	71.21509809	51.67179947	41.10617096	82.65522219	174.9863229	60.02674476	55.85688495	73.27189213	51.60342352	104.5953161	36.37292439	27.57263732	68.60278115	48.20691209	28.08081693
16_testfeces_STD-1-4	81.91383347	79.87569381	70.01663553	49.27423847	50.08916911	86.39404719	66.09619127	13.42813291	30.76452274	54.43335741	63.1024898	227.2350319	41.7151398	76.78240262	69.50732161	29.41921705	29.81448427	47.05660918	33.14488087	51.28825227	23.47955264	20.34489185	7.535845223	35.0714782	86.56329193	57.57949976	47.72429373	34.15516414	4.852703586	64.59946925	50.60151036	19.64511202	48.44177743	61.7536858	52.15798314	40.09529302	84.47553609	179.3061948	60.30117839	55.76210027	68.43109389	55.24163567	101.6590765	34.50376287	30.89827345	62.49015304	47.9525051	27.07710861
17_testfeces_STD-10-1	566.5181342	639.1825143	648.525558	587.2819602	557.8012297	590.530242	621.7925409	453.451382	504.0938883	590.4271665	469.6450442	451.1656859	463.3070954	202.9285844	611.0785878	393.0227002	541.1479556	526.0011876	517.9338271	567.9579716	477.8753747	75.65858075	52.80085557	458.3309015	278.6751575	639.8401479	543.6415699	500.8332995	55.27588472	473.4899182	631.3300953	100.5713057	541.2208908	497.0213131	690.7197191	563.7652024	774.4858549	890.7487387	553.6104803	708.7004313	680.9832429	665.2344979	1145.305744	560.7166256	503.0072424	696.291282	608.9737769	473.1015391
18_testfeces_STD-10-2	560.4188906	718.4052689	681.6385218	653.9593299	622.6991409	599.57314	602.9204195	461.4600433	558.1408319	612.9018148	523.0402157	430.3003934	472.4527735	222.9645135	619.3648323	392.1022719	547.2177122	520.1203849	512.7116225	564.6222273	488.1035533	77.59831646	61.57588826	447.085581	336.0100383	634.2240207	546.9997272	492.277318	59.64885245	458.0068535	646.0485662	91.57166932	542.5412924	534.7757761	679.1486295	560.9062012	767.3734745	918.6175715	583.770946	610.7805403	614.0424153	648.8030699	1128.741493	568.6044537	506.8350065	641.7763134	602.8422224	476.6068224
